allegation,allegation_classification,allegation_categories,allegation_categories_description
"reporting for duty, neglect of duty and knowledge of orleans parish sheriffs office policies and procedures",Neglect of Duty and Professionalism,,
neglect of duty-failure to act/devoting entire time to duty,Neglect of Duty and Professionalism,,
ceasing to perform before the end of tour,Neglect of Duty and Professionalism,,
neglect of duty-failure to act 12 and knowledge of orleans parish sheriffs office policies and procedures,Neglect of Duty and Professionalism,,
ceasing to perform work before end of tour/leaving assigned area,Neglect of Duty and Professionalism,,
"devoting entire time to duty, neglect of duty-failure to act 1 neglect of duty-failure to act 12 and associations",Neglect of Duty and Professionalism,,
neglect of duty-failure to act/associations/knowledge of orleans parish sheriff's office policy procedures,Neglect of Duty and Professionalism,,
"instructions from a supervisor or higher ranked staff member, knowledge of orleans parish sheriffs office policies and procedures",Neglect of Duty and Professionalism,,
"unauthorized force/physical intimidation, professionalism, instructions from a supervisor or higher ranked staff member, neglect of duty/failure to act 6 and knowledge of orleans parish sheriffs office policies and procedures",Excessive Use of Force,,
"instructions from a supervisor or higher ranked staff member, neglect of duty-general and leaving assigned area",Neglect of Duty and Professionalism,,
reporting for duty and neglect of duty-failure to act 2,Neglect of Duty and Professionalism,,
"instructions from a supervisor or higher ranked staff member, neglect of duty failure to act 12 ceasing to perform work before end of tour of duty",Neglect of Duty and Professionalism,,
possession of cellular phones devices in secure custody areas,Neglect of Duty and Professionalism,,
neatness and attire,Neglect of Duty and Professionalism,,
procedures manual,Neglect of Duty and Professionalism,,
"instructions from a supervisor or higher ranked staff member neglect of duty-general, neglect of duty-failure to act c-12 and leaving assigned area",Neglect of Duty and Professionalism,,
neglect of duty failure to act 11,Neglect of Duty and Professionalism,,
"instructions from a supervisor or higher ranked staff member, reporting for duty",Neglect of Duty and Professionalism,,
sick leave fmla/workers' compensation imjuring/reporting,Neglect of Duty and Professionalism,,
neglect of duty and false or inaccurate reports,Falsifying Statements and Reports,,
adherence to law/truthfulness/unauthorized force/physical intmidation/professionalism,Excessive Use of Force,,
truthfulness/instructions from a supervisor or higher ranked staff member/neglect of duty/knowledge of orleans parish sheriff's office policy procedures,Falsifying Statements and Reports,,
"neatness and attire, instructions from a supervisor or higher ranked staff , neglect of duty-failure to act 6",Neglect of Duty and Professionalism,,
professionalism-miscounduct-sexual harassment,Sexual Misconduct and Harassment,,
instructions from authoritative source,Neglect of Duty and Professionalism,,
"instructions from a supervisor or higher ranked staff member, devoting entire time to duty, knowledge of orleans parish sheriffs office policies and procedures",Neglect of Duty and Professionalism,,
"unauthorized force/physical intimidation, professionalism, neglect of duty, false or inaccurate reports",Excessive Use of Force,,
false or inaccurate reports (2 counts),Falsifying Statements and Reports,,
neglect of duty/failure to act 4,Neglect of Duty and Professionalism,,
neglect of duty-general and leaving assigned area,Neglect of Duty and Professionalism,,
courtesy/professionalism/instructions from a supervisor or higher ranked staff member/devoting entire time to duty,Neglect of Duty and Professionalism,,
neglect of duty/instructions from a supervisor or higher ranked staff member,Neglect of Duty and Professionalism,,
"reporting for duty, neglect of duty/general, instructions from a supervisor or higher ranked staff member",Neglect of Duty and Professionalism,,
reporting for duty/neglect of duty-failure to act-sick leave/worker's compensation/injury/reporting,Neglect of Duty and Professionalism,,
reporting for duty/sick leave/worker's compensation/injury/reporting/knowledge of orleans parish sheriff's office policy procedures,Neglect of Duty and Professionalism,,
"professionalism, unauthorized force/physical intimidation",Excessive Use of Force,,
reporting for duty/knowledge of orleans parish sheriff's office policy procedures,Neglect of Duty and Professionalism,,
"reporting for duty, instructions from a supervisor or higher ranked staff member, neglect of duty-general and neglect of duty-failure to act 1& 13",Neglect of Duty and Professionalism,,
adherence to law/professionalism,Engaging in Criminal Activity,,
negelct of duty-failure to act 1 and false and inaccurate report,Falsifying Statements and Reports,,
"courtesy, profesionalism, cooperation",Neglect of Duty and Professionalism,,
devoting entire time to duty/neglect of duty-general/neglect of duty-failure to act,Neglect of Duty and Professionalism,,
"truthfulness, reporting for duty ,and neglect of duty-general",Falsifying Statements and Reports,,
"courtesy, professionalism, leaving assigned area",Neglect of Duty and Professionalism,,
"reporting for duty, neglect of duty-failure to act 3 and knowledge of orleans parish sheriffs office policies and procedure",Neglect of Duty and Professionalism,,
"neglect of duty-failure to act: ""8""",Neglect of Duty and Professionalism,,
"professionalism, instructions from a supervisor or higher ranked staff member, neglect of duty failure to act",Neglect of Duty and Professionalism,,
professionalism/cooperation/instructions from a supervisor or higher ranked staff member/neglect of duty-failure to act,Neglect of Duty and Professionalism,,
professionalism/cooperation/instructions from a supervisor or higher ranked staff member,Neglect of Duty and Professionalism,,
`reporting for duty,Neglect of Duty and Professionalism,,
"truthfulness, reporting for duty, neglect of/failure to act duty 3",Falsifying Statements and Reports,,
neglect of duty-general and instructions from a supervisor or higher ranked staff member,Neglect of Duty and Professionalism,,
professionalism (3 counts each),Neglect of Duty and Professionalism,,
professionalism and unauthorized force/physical intimidation,Excessive Use of Force,,
"""7""",Other Allegation,,
procedures (3 counts each),Neglect of Duty and Professionalism,,
instructions from a supervisor or higher ranked staff member and ceasing to perform work before end of tour of duty,Neglect of Duty and Professionalism,,
neglect of duy-general,Neglect of Duty and Professionalism,,
neglect of duty-general/instructions from a supervisor or higher ranked staff member/leaving assigned area,Neglect of Duty and Professionalism,,
neglect of duty-general/neglect of duty-failure to actknowledge of orleans parish sheriff's office policy procedures,Neglect of Duty and Professionalism,,
reporting for duty/neglect of duty-failure to act/knowledge of opso policies procedure,Neglect of Duty and Professionalism,,
"profssionalism, instructions, intimidation",General Harassment,,
"neglect of duty-failure to act: ""9""",Neglect of Duty and Professionalism,,
instructions from a supervisor or higher ranked staff member/neglect of duty-general/leaving assigned area,Neglect of Duty and Professionalism,,
"neglect of duty-general, neglect of and neglect of duty-failure to act 6",Neglect of Duty and Professionalism,,
instructions from a supervisor or higher rank staff member,Neglect of Duty and Professionalism,,
"professionalism, cooperation, instructions from a supervisor or higher ranked satff member",Neglect of Duty and Professionalism,,
ceasing to perform work before end of tour of duty,Neglect of Duty and Professionalism,,
truthfulness and reporting for duty,Falsifying Statements and Reports,,
cooperation/instructions from a supervisor or higher ranked staff member/neglect of duty-general,Neglect of Duty and Professionalism,,
courtesy/truthfulness/moral conduct/professionalism possession of cellular phones/devices in secures custody areas,Falsifying Statements and Reports,,
"courtesy, professionalism, instructions from a supervisor or higher ranked staff member",Neglect of Duty and Professionalism,,
courtesy/professionalism,Neglect of Duty and Professionalism,,
"reporting for duty, instructions from a supervisor or higher ranked staff member, knowledge of orleans parish sheriffs office policies and procedures",Neglect of Duty and Professionalism,,
"neglect of duty/failure to act, ceasing to perform work before end of tour of duty",Neglect of Duty and Professionalism,,
"neglect of duty-failure to act: ""14"", policy 30109 (d) 5-eligibility to work details (abo)",Neglect of Duty and Professionalism,,
"intimidation, unauthorized force/physical intimidation, professionalism, instructins from supervisor or higher rank staff member",Excessive Use of Force,,
neglect of duty-failure to act 14,Neglect of Duty and Professionalism,,
